1.0,514.1496658325195
5.0,1464.676856994629
10.0,2478.814125061035
50.0,10472.917556762695
70.0,16222.453117370605
100.0,20526.409149169922
200.0,39967.08393096924
300.0,59838.53340148926
400.0,84606.71901702881
500.0,104878.3540725708
600.0,114862.5135421753
700.0,142964.45846557617
1000.0,200144.19555664062
1500.0,317095.35121917725
2000.0,438092.4463272095
3000.0,687877.3212432861
4000.0,951741.0278320312
5000.0,1155733.847618103
6000.0,1539939.9518966675
7000.0,1867189.860343933
9000.0,2547614.9320602417
10000.0,2824772.7155685425
