1,3.266334534,2.551078796,5.149841309
5,14.80579376,19.31190491,10.91957092
10,18.9781189,40.41194916,8.416175842
50,32.97328949,95.03364563,20.86162567
70,44.60811615,125.4081726,22.93586731
100,51.49841309,166.9406891,30.08842468
200,82.73124695,285.7446671,51.64146423
300,113.2726669,448.513031,78.08208466
400,156.4502716,549.2925644,110.7931137
500,182.9147339,748.2051849,133.5144043
600,211.3103867,875.043869,160.6702805
700,239.0384674,955.7008743,195.3601837
1000,338.9120102,1421.85688,257.3013306
1500,570.0349808,2104.496956,384.6645355
2000,645.5659866,2887.606621,546.002388
3000,847.8164673,4160.833359,781.9652557
4000,1110.243797,5880.594254,1062.178612
5000,1612.901688,7111.001015,1298.02227
6000,1700.139046,8191.370964,1609.110832
7000,1854.06208,10400.15221,1850.008965
9000,2733.707428,12875.86689,2370.357513
10000,3447.365761,14308.64334,2688.193321
15000,3843.379021,21928.31039,3850.603104
17000,4819.345474,23638.55839,4568.243027
20000,6045.651436,29482.34081,5004.787445
25000,7694.029808,36732.6498,6624.293327
27000,7589.793205,37943.05325,7136.917114
30000,9979.772568,43782.73487,7683.634758
32000,9265.54203,44766.28304,8768.53466
35000,13479.9242,58712.02946,10483.21724
37000,13039.54124,60455.29842,11030.72166
40000,13989.54391,66358.56628,11464.78653
42000,14611.19652,67264.10389,12288.61809
45000,16524.17183,75361.18031,12838.19675
47000,15991.16325,78375.76866,13557.86324
50000,18843.55545,79198.86112,14713.83572
55000,22456.76517,94204.37813,15668.1776
60000,19020.84351,93811.10668,17344.73705
65000,19784.80816,115554.9526,18677.0916
70000,23356.15158,120436.6446,20181.46515
75000,18737.60223,118672.2279,19882.86972
80000,23396.53969,116828.1317,22737.31232
85000,21534.46674,115076.7326,22983.1934
90000,32045.93658,131656.003,24474.50161
95000,26755.57137,147994.7567,25147.43805
100000,29560.11295,150871.3722,27171.49258
